N;VarName;RhoEstimated;k;M;PseudoP
206;LNY;0.053725086;204;0.010370628;0.844
206;LNY;0.053725086;202;0.011063927;0.821
206;LNY;0.053725086;200;0.011803048;0.806
206;LNY;0.053725086;198;0.012590938;0.785
206;LNY;0.053725086;196;0.013430719;0.766
206;LNY;0.053725086;194;0.014325698;0.748
206;LNY;0.053725086;192;0.015279379;0.718
206;LNY;0.053725086;190;0.016295472;0.701
206;LNY;0.053725086;188;0.017377898;0.668
206;LNY;0.053725086;186;0.018530804;0.647
206;LNY;0.053725086;184;0.01975857;0.628
206;LNY;0.053725086;182;0.021065818;0.613
206;LNY;0.053725086;180;0.022457425;0.589
206;LNY;0.053725086;178;0.023938526;0.562
206;LNY;0.053725086;176;0.025514532;0.547
206;LNY;0.053725086;174;0.027191128;0.526
206;LNY;0.053725086;172;0.02897429;0.492
206;LNY;0.053725086;170;0.030870288;0.473
206;LNY;0.053725086;168;0.032885693;0.446
206;LNY;0.053725086;166;0.035027382;0.416
206;LNY;0.053725086;164;0.037302543;0.389
206;LNY;0.053725086;162;0.039718677;0.362
206;LNY;0.053725086;160;0.042283601;0.345
206;LNY;0.053725086;158;0.045005442;0.32
206;LNY;0.053725086;156;0.047892638;0.295
206;LNY;0.053725086;154;0.05095393;0.28
206;LNY;0.053725086;152;0.054198352;0.261
206;LNY;0.053725086;150;0.05763522;0.242
206;LNY;0.053725086;148;0.061274118;0.213
206;LNY;0.053725086;146;0.065124871;0.196
206;LNY;0.053725086;144;0.069197529;0.172
206;LNY;0.053725086;142;0.07350233;0.152
206;LNY;0.053725086;140;0.078049672;0.133
206;LNY;0.053725086;138;0.082850068;0.114
206;LNY;0.053725086;136;0.087914103;0.101
206;LNY;0.053725086;134;0.093252382;0.089
206;LNY;0.053725086;132;0.098875471;0.077
206;LNY;0.053725086;130;0.104793834;0.064
206;LNY;0.053725086;128;0.111017758;0.051
206;LNY;0.053725086;126;0.117557282;0.043
206;LNY;0.053725086;124;0.124422108;0.036
206;LNY;0.053725086;122;0.131621511;0.032
206;LNY;0.053725086;120;0.139164249;0.025
206;LNY;0.053725086;118;0.147058457;0.019
206;LNY;0.053725086;116;0.155311544;0.01
206;LNY;0.053725086;114;0.163930088;0.006
206;LNY;0.053725086;112;0.17291972;0.004
206;LNY;0.053725086;110;0.182285019;0.003
206;LNY;0.053725086;108;0.192029399;0.001
206;LNY;0.053725086;106;0.202155003;0.001
206;LNY;0.053725086;104;0.212662597;0
206;LNY;0.053725086;102;0.223551476;0
206;LNY;0.053725086;100;0.234819371;0
206;LNY;0.053725086;98;0.246462376;0
206;LNY;0.053725086;96;0.258474876;0
206;LNY;0.053725086;94;0.270849499;0
