Vname;N;k;RhoReference;RhoEstimated;RCM_bar;RCV_bar
SAR1_10_-0.3_12;10;12;-0.3;-0.3144597;0.04950592;0.74488484
SAR1_10_-0.3_2;10;2;-0.3;-0.3144597;0.02220181;0.98910362
SAR1_10_-0.3_25;10;25;-0.3;-0.3144597;0.03477486;0.59900373
SAR1_10_-0.3_4;10;4;-0.3;-0.3144597;0.04175053;0.94595057
SAR1_10_-0.3_40;10;40;-0.3;-0.3144597;0.02823868;0.3434746
SAR1_10_-0.3_53;10;53;-0.3;-0.3144597;0.03538546;0.21416974
SAR1_10_-0.3_67;10;67;-0.3;-0.3144597;0.02055972;0.10685108
SAR1_10_-0.3_7;10;7;-0.3;-0.3144597;0.06692677;0.85016154
SAR1_10_-0.3_80;10;80;-0.3;-0.3144597;0.01386844;0.05869831
SAR1_10_-0.3_90;10;90;-0.3;-0.3144597;0.00931421;0.02661541
SAR1_10_-0.3_99;10;99;-0.3;-0.3144597;0.00323982;0.00774125
SAR1_10_-0.5_12;10;12;-0.5;-0.5425283;0.04603836;0.80129543
SAR1_10_-0.5_2;10;2;-0.5;-0.5425283;0.02187577;0.99032241
SAR1_10_-0.5_25;10;25;-0.5;-0.5425283;0.0410013;0.58669699
SAR1_10_-0.5_4;10;4;-0.5;-0.5425283;0.02797688;0.97506903
SAR1_10_-0.5_40;10;40;-0.5;-0.5425283;0.02980928;0.35090861
SAR1_10_-0.5_53;10;53;-0.5;-0.5425283;0.02580389;0.18820188
SAR1_10_-0.5_67;10;67;-0.5;-0.5425283;0.01879989;0.07824454
SAR1_10_-0.5_7;10;7;-0.5;-0.5425283;0.04124646;0.93217633
SAR1_10_-0.5_80;10;80;-0.5;-0.5425283;0.01951361;0.04799719
SAR1_10_-0.5_90;10;90;-0.5;-0.5425283;0.00862139;0.02713871
SAR1_10_-0.5_99;10;99;-0.5;-0.5425283;0.00235999;0.00818372
SAR1_10_-0.7_12;10;12;-0.7;-0.7632338;0.03986153;0.81689023
SAR1_10_-0.7_2;10;2;-0.7;-0.7632338;0.00879437;0.99764081
SAR1_10_-0.7_25;10;25;-0.7;-0.7632338;0.03561924;0.58131187
SAR1_10_-0.7_4;10;4;-0.7;-0.7632338;0.03340529;0.95456302
SAR1_10_-0.7_40;10;40;-0.7;-0.7632338;0.03494071;0.40073676
SAR1_10_-0.7_53;10;53;-0.7;-0.7632338;0.03093411;0.21199254
SAR1_10_-0.7_67;10;67;-0.7;-0.7632338;0.02055871;0.08760091
SAR1_10_-0.7_7;10;7;-0.7;-0.7632338;0.0359763;0.91079194
SAR1_10_-0.7_80;10;80;-0.7;-0.7632338;0.01319623;0.04781319
SAR1_10_-0.7_90;10;90;-0.7;-0.7632338;0.00960111;0.02691897
SAR1_10_-0.7_99;10;99;-0.7;-0.7632338;0.00266442;0.00677138
SAR1_10_-0.9_12;10;12;-0.9;-0.8384633;0.03531468;0.86719507
SAR1_10_-0.9_2;10;2;-0.9;-0.8384633;0.01604712;0.99583498
SAR1_10_-0.9_25;10;25;-0.9;-0.8384633;0.03969655;0.59364008
SAR1_10_-0.9_4;10;4;-0.9;-0.8384633;0.04775207;0.93747223
SAR1_10_-0.9_40;10;40;-0.9;-0.8384633;0.02961264;0.45745208
SAR1_10_-0.9_53;10;53;-0.9;-0.8384633;0.02120078;0.22813347
SAR1_10_-0.9_67;10;67;-0.9;-0.8384633;0.01850316;0.11653947
SAR1_10_-0.9_7;10;7;-0.9;-0.8384633;0.04543696;0.89386379
SAR1_10_-0.9_80;10;80;-0.9;-0.8384633;0.00942365;0.05495018
SAR1_10_-0.9_90;10;90;-0.9;-0.8384633;0.00619848;0.03187451
SAR1_10_-0.9_99;10;99;-0.9;-0.8384633;0.00211808;0.00619529
SAR1_10_0.3_12;10;12;0.3;0.38346193;0.06043549;0.65388208
SAR1_10_0.3_2;10;2;0.3;0.38346193;0.0350497;0.97419019
SAR1_10_0.3_25;10;25;0.3;0.38346193;0.04220025;0.43482606
SAR1_10_0.3_4;10;4;0.3;0.38346193;0.04305481;0.92392495
SAR1_10_0.3_40;10;40;0.3;0.38346193;0.03347492;0.15972759
SAR1_10_0.3_53;10;53;0.3;0.38346193;0.02198549;0.10064787
SAR1_10_0.3_67;10;67;0.3;0.38346193;0.01941058;0.06336508
SAR1_10_0.3_7;10;7;0.3;0.38346193;0.05990971;0.76591627
SAR1_10_0.3_80;10;80;0.3;0.38346193;0.01196559;0.05309492
SAR1_10_0.3_90;10;90;0.3;0.38346193;0.0168297;0.03399241
SAR1_10_0.3_99;10;99;0.3;0.38346193;0.0029522;0.0107383
SAR1_10_0.5_12;10;12;0.5;0.56334678;0.0642011;0.57686899
SAR1_10_0.5_2;10;2;0.5;0.56334678;0.03669703;0.95744668
SAR1_10_0.5_25;10;25;0.5;0.56334678;0.06701459;0.38326166
SAR1_10_0.5_4;10;4;0.5;0.56334678;0.07400805;0.83473604
SAR1_10_0.5_40;10;40;0.5;0.56334678;0.03559353;0.19768952
SAR1_10_0.5_53;10;53;0.5;0.56334678;0.02841472;0.07237046
SAR1_10_0.5_67;10;67;0.5;0.56334678;0.02085037;0.06064009
SAR1_10_0.5_7;10;7;0.5;0.56334678;0.0734953;0.70847895
SAR1_10_0.5_80;10;80;0.5;0.56334678;0.01336499;0.04337059
SAR1_10_0.5_90;10;90;0.5;0.56334678;0.01339563;0.02103717
SAR1_10_0.5_99;10;99;0.5;0.56334678;0.0027419;0.00862201
SAR1_10_0.7_12;10;12;0.7;0.76570144;0.08306717;0.41863817
SAR1_10_0.7_2;10;2;0.7;0.76570144;0.08033118;0.89911053
SAR1_10_0.7_25;10;25;0.7;0.76570144;0.05988472;0.23520293
