RhoReference;N;k;median_RCV_bar
-0.9;5;3;0.913758245
-0.7;5;3;0.91754803
-0.5;5;3;0.88502583
-0.3;5;3;0.88161026
0;5;3;0.84738776
0.3;5;3;0.78351816
0.5;5;3;0.72679459
0.7;5;3;0.631510195
0.9;5;3;0.512810235
-0.9;5;5;0.7808814
-0.7;5;5;0.763434255
-0.5;5;5;0.741548325
-0.3;5;5;0.729297975
0;5;5;0.682563895
0.3;5;5;0.600415155
0.5;5;5;0.524262975
0.7;5;5;0.456975075
0.9;5;5;0.344938405
-0.9;5;10;0.45341599
-0.7;5;10;0.45763657
-0.5;5;10;0.456872
-0.3;5;10;0.404667145
0;5;10;0.376138545
0.3;5;10;0.314886675
0.5;5;10;0.26164062
0.7;5;10;0.212890015
0.9;5;10;0.176829035
-0.9;5;13;0.310782245
-0.7;5;13;0.31300759
-0.5;5;13;0.30290956
-0.3;5;13;0.27878233
0;5;13;0.268731485
0.3;5;13;0.21523098
0.5;5;13;0.18037055
0.7;5;13;0.1523173
0.9;5;13;0.122331675
-0.9;5;15;0.25648319
-0.7;5;15;0.23686722
-0.5;5;15;0.25061992
-0.3;5;15;0.22272781
0;5;15;0.21910974
0.3;5;15;0.1739652
0.5;5;15;0.14472523
0.7;5;15;0.123838685
0.9;5;15;0.1089672
-0.9;5;18;0.175120305
-0.7;5;18;0.16274873
-0.5;5;18;0.16303897
-0.3;5;18;0.146723645
0;5;18;0.144385465
0.3;5;18;0.12106215
0.5;5;18;0.105806775
0.7;5;18;0.096302755
0.9;5;18;0.085959625
-0.9;5;20;0.117212645
-0.7;5;20;0.1090452
-0.5;5;20;0.1134955
-0.3;5;20;0.10956544
0;5;20;0.101379975
0.3;5;20;0.084977355
0.5;5;20;0.08141308
0.7;5;20;0.06928521
0.9;5;20;0.06612389
-0.9;5;22;0.07462989
-0.7;5;22;0.07594597
-0.5;5;22;0.073336695
-0.3;5;22;0.072468615
0;5;22;0.071682155
0.3;5;22;0.058198365
0.5;5;22;0.0551355
0.7;5;22;0.052575265
0.9;5;22;0.048709085
-0.9;5;24;0.033082935
-0.7;5;24;0.032064
-0.5;5;24;0.031813125
