N;k;Eta
5;3;0.07576255
5;5;0.156488999
5;10;0.305705373
5;13;0.270718489
5;15;0.288388318
5;18;0.421207062
5;20;0.260306586
5;22;0.205779246
5;24;0.203511519
10;2;0.002791286
10;4;0.010297533
10;7;0.02553549
10;12;0.054511724
10;25;0.136193495
10;40;0.206568577
10;53;0.305548681
10;67;0.355124595
10;80;0.279916779
10;90;0.68021736
10;99;0.013308232
15;3;0.002515154
15;5;0.009042647
15;10;0.011126671
15;15;0.015516211
15;30;0.043404785
15;60;0.095752904
15;90;0.161655151
15;120;0.292518609
15;150;0.498452709
15;180;0.484304931
15;200;30051.25832
15;220;0.323857027
20;4;0.001251659
20;9;0.004240237
20;18;0.006191902
20;26;0.011566201
20;50;0.020747291
20;110;0.07848124
20;160;0.181361268
20;213;0.31751123
20;267;0.520998965
20;320;40787.98599
20;360;20088.61356
20;396;0.081105015
25;6;0.001790623
25;14;0.003983476
25;27;0.002530669
25;43;0.004462165
25;80;0.015280199
25;170;0.089074227
25;250;0.187885376
25;333;0.353746329
25;417;1.47313045
25;500;19021.95389
25;563;16543.26269
25;618;0.340788593
30;9;0.001936047
30;20;0.002865748
30;40;0.003729843
30;60;0.004393363
30;120;0.018007345
30;240;0.07499327
30;360;0.177431407
30;480;0.282131354
30;600;0.489552539
30;720;9.375441323
30;810;83009.21831
30;890;7675.250588
