RhoReference;N;k;k_N;median_RCV_bar;linearized_median_RCV_bar
-0.9;5;3;0.12;0.913758245;-2.360411577
-0.7;5;3;0.12;0.91754803;-2.409488985
-0.5;5;3;0.12;0.88502583;-2.040909337
-0.3;5;3;0.12;0.88161026;-2.007768013
0;5;3;0.12;0.84738776;-1.714258069
0.3;5;3;0.12;0.78351816;-1.286287576
0.5;5;3;0.12;0.72679459;-0.978419963
0.7;5;3;0.12;0.631510195;-0.538701041
0.9;5;3;0.12;0.512810235;-0.051252156
-0.9;5;5;0.2;0.7808814;-1.270810146
-0.7;5;5;0.2;0.763434255;-1.17160085
-0.5;5;5;0.2;0.741548325;-1.054031599
-0.3;5;5;0.2;0.729297975;-0.991063716
0;5;5;0.2;0.682563895;-0.765579588
0.3;5;5;0.2;0.600415155;-0.40719522
0.5;5;5;0.2;0.524262975;-0.097128186
0.7;5;5;0.2;0.456975075;0.172526372
0.9;5;5;0.2;0.344938405;0.641363405
-0.9;5;10;0.4;0.45341599;0.186878015
-0.7;5;10;0.4;0.45763657;0.169860958
-0.5;5;10;0.4;0.456872;0.172941755
-0.3;5;10;0.4;0.404667145;0.386055804
0;5;10;0.4;0.376138545;0.50597077
0.3;5;10;0.4;0.314886675;0.77737145
0.5;5;10;0.4;0.26164062;1.037458788
0.7;5;10;0.4;0.212890015;1.30759232
0.9;5;10;0.4;0.176829035;1.537980551
-0.9;5;13;0.52;0.310782245;0.796464776
-0.7;5;13;0.52;0.31300759;0.786095805
-0.5;5;13;0.52;0.30290956;0.833480879
-0.3;5;13;0.52;0.27878233;0.950509694
0;5;13;0.52;0.268731485;1.001068034
0.3;5;13;0.52;0.21523098;1.293677655
0.5;5;13;0.52;0.18037055;1.513839002
0.7;5;13;0.52;0.1523173;1.716540546
0.9;5;13;0.52;0.122331675;1.970532757
-0.9;5;15;0.6;0.25648319;1.064328249
-0.7;5;15;0.6;0.23686722;1.169932309
-0.5;5;15;0.6;0.25061992;1.095308776
-0.3;5;15;0.6;0.22272781;1.249840155
0;5;15;0.6;0.21910974;1.270861928
