"";"Var";"N";"RhoReference";"RhoEstimated";"k";"Theta";"r";"SMAUP"
"1";"SAR0_-0.3";15;-0.3;-0.277112908184;143;0.635555555556;30;0.0799389666979621
"2";"SAR1_-0.3";15;-0.3;-0.310924749862;147;0.653333333333;30;0.0712767001995159
"3";"SAR2_-0.3";15;-0.3;-0.314949855063;199;0.884444444444;30;0.0127705638488023
"4";"SAR3_-0.3";15;-0.3;-0.310916877753;197;0.875555555556;30;0.0136785395887975
"5";"SAR4_-0.3";15;-0.3;-0.275912615494;195;0.866666666667;30;0.0145827985790147
"6";"SAR5_-0.3";15;-0.3;-0.308517644637;158;0.702222222222;30;0.0503209932505247
"7";"SAR6_-0.3";15;-0.3;-0.305407854263;180;0.8;30;0.0243921855880546
"8";"SAR7_-0.3";15;-0.3;-0.319568857613;183;0.813333333333;30;0.0221075489515232
"9";"SAR8_-0.3";15;-0.3;-0.251436029232;167;0.742222222222;30;0.0370658003157735
"10";"SAR9_-0.3";15;-0.3;-0.319933950199;217;0.964444444444;30;0.00679265071371172
"11";"SAR0_-0.3";15;-0.3;-0.325013588283;161;0.715555555556;30;0.0458707907013233
"12";"SAR1_-0.3";15;-0.3;-0.275579513248;164;0.728888888889;30;0.0411178654398234
"13";"SAR2_-0.3";15;-0.3;-0.303152031057;157;0.697777777778;30;0.0518894842791498
"14";"SAR3_-0.3";15;-0.3;-0.316559329933;166;0.737777777778;30;0.0389068789392659
"15";"SAR4_-0.3";15;-0.3;-0.298806917041;168;0.746666666667;30;0.0362866413086089
"16";"SAR5_-0.3";15;-0.3;-0.300189234084;190;0.844444444444;30;0.017366952290277
"17";"SAR6_-0.3";15;-0.3;-0.26399390942;151;0.671111111111;30;0.0621303182343451
"18";"SAR7_-0.3";15;-0.3;-0.278463409395;188;0.835555555556;30;0.0185213716157702
"19";"SAR8_-0.3";15;-0.3;-0.343691738957;194;0.862222222222;30;0.0152403817582442
"20";"SAR9_-0.3";15;-0.3;-0.271609056737;182;0.808888888889;30;0.0226514782601461
"21";"SAR0_-0.3";15;-0.3;-0.336361915949;165;0.733333333333;30;0.0403865472105278
"22";"SAR1_-0.3";15;-0.3;-0.308829824637;203;0.902222222222;30;0.01110678692803
"23";"SAR2_-0.3";15;-0.3;-0.312477280859;209;0.928888888889;30;0.00900786467076554
"24";"SAR3_-0.3";15;-0.3;-0.269533902851;200;0.888888888889;30;0.0122714976673418
"25";"SAR4_-0.3";15;-0.3;-0.278373175318;180;0.8;30;0.0242571966672822
"26";"SAR5_-0.3";15;-0.3;-0.304824326751;209;0.928888888889;30;0.00900398758928964
"27";"SAR6_-0.3";15;-0.3;-0.289687146095;136;0.604444444444;30;0.0991384346447227
"28";"SAR7_-0.3";15;-0.3;-0.299375431212;209;0.928888888889;30;0.00900122583253929
"29";"SAR8_-0.3";15;-0.3;-0.260693337454;156;0.693333333333;30;0.0529887386927812
"30";"SAR9_-0.3";15;-0.3;-0.337336566431;191;0.848888888889;30;0.0168833905529936
"31";"SAR0_-0.3";15;-0.3;-0.338283969941;142;0.631111111111;30;0.0837172668186654
"32";"SAR1_-0.3";15;-0.3;-0.348203810922;165;0.733333333333;30;0.0404972275425286
"33";"SAR2_-0.3";15;-0.3;-0.262579388717;212;0.942222222222;30;0.00809187447366774
"34";"SAR3_-0.3";15;-0.3;-0.28678342392;145;0.644444444444;30;0.0753607780724941
"35";"SAR4_-0.3";15;-0.3;-0.298370231974;199;0.884444444444;30;0.0127453104077448
"36";"SAR5_-0.3";15;-0.3;-0.323235717133;153;0.68;30;0.0592302512512477
"37";"SAR6_-0.3";15;-0.3;-0.319065621688;188;0.835555555556;30;0.0186527610519238
"38";"SAR7_-0.3";15;-0.3;-0.344710930115;141;0.626666666667;30;0.0864425395454861
"39";"SAR8_-0.3";15;-0.3;-0.269588247136;195;0.866666666667;30;0.0145696448303057
"40";"SAR9_-0.3";15;-0.3;-0.256117912909;173;0.768888888889;30;0.0304699212887997
"41";"SAR0_-0.3";15;-0.3;-0.279397587616;125;0.555555555556;30;0.136267746579164
"42";"SAR1_-0.3";15;-0.3;-0.323597613571;198;0.88;30;0.013234783116678
"43";"SAR2_-0.3";15;-0.3;-0.340619654145;166;0.737777777778;30;0.0391254590780439
"44";"SAR3_-0.3";15;-0.3;-0.33606088171;204;0.906666666667;30;0.0107526912964652
"45";"SAR4_-0.3";15;-0.3;-0.333183319762;182;0.808888888889;30;0.0229279137677119
"46";"SAR5_-0.3";15;-0.3;-0.296621975279;172;0.764444444444;30;0.0317893227263801
"47";"SAR6_-0.3";15;-0.3;-0.343061955153;169;0.751111111111;30;0.0354718559770588
"48";"SAR7_-0.3";15;-0.3;-0.331917039846;168;0.746666666667;30;0.0365668983233799
"49";"SAR8_-0.3";15;-0.3;-0.28616192141;169;0.751111111111;30;0.0350094761050869
"50";"SAR9_-0.3";15;-0.3;-0.344796209197;164;0.728888888889;30;0.041808081556191
"51";"SAR0_-0.3";15;-0.3;-0.268562917446;197;0.875555555556;30;0.0136027720445879
"52";"SAR1_-0.3";15;-0.3;-0.315265525749;156;0.693333333333;30;0.0537366048648425
"53";"SAR2_-0.3";15;-0.3;-0.333725703125;208;0.924444444444;30;0.0093419878680846
"54";"SAR3_-0.3";15;-0.3;-0.304226137601;166;0.737777777778;30;0.0387932550267676
"55";"SAR4_-0.3";15;-0.3;-0.283500269338;217;0.964444444444;30;0.00679374580832436
"56";"SAR5_-0.3";15;-0.3;-0.277967807604;209;0.928888888889;30;0.00899036515910449
"57";"SAR6_-0.3";15;-0.3;-0.259760195611;193;0.857777777778;30;0.01557682121653
