"";"Var";"N";"RhoReference";"RhoEstimated";"k";"Theta";"r";"SMAUP"
"1";"SAR0_0";15;0;0.0244711382195;216;0.96;30;0.00702913727743072
"2";"SAR1_0";15;0;0.0410940153196;211;0.937777777778;30;0.00827080092686808
"3";"SAR2_0";15;0;-0.0130242539913;156;0.693333333333;30;0.0490869168000631
"4";"SAR3_0";15;0;-0.0193281099235;151;0.671111111111;30;0.057491539688072
"5";"SAR4_0";15;0;-0.0454653049793;135;0.6;30;0.0944299304634201
"6";"SAR5_0";15;0;-0.00416618315769;174;0.773333333333;30;0.0276463913508118
"7";"SAR6_0";15;0;0.00465047580506;178;0.791111111111;30;0.0242527391725736
"8";"SAR7_0";15;0;-0.043423255741;214;0.951111111111;30;0.00751407637157076
"9";"SAR8_0";15;0;-0.0406789339728;166;0.737777777778;30;0.036107651053072
"10";"SAR9_0";15;0;-0.03054602348;180;0.8;30;0.022938343074346
"11";"SAR0_0";15;0;0.0431070196091;189;0.84;30;0.0168641358844492
"12";"SAR1_0";15;0;0.0489834118422;128;0.568888888889;30;0.111266339274425
"13";"SAR2_0";15;0;-0.0439188246193;170;0.755555555556;30;0.0317957881353933
"14";"SAR3_0";15;0;-0.0162918786173;130;0.577777777778;30;0.108093822928792
"15";"SAR4_0";15;0;-0.0258457636104;199;0.884444444444;30;0.0123190279816414
"16";"SAR5_0";15;0;0.0487838017129;174;0.773333333333;30;0.027230468235177
"17";"SAR6_0";15;0;0.0495106687071;169;0.751111111111;30;0.0319056088906023
"18";"SAR7_0";15;0;0.0315600609158;212;0.942222222222;30;0.00800878373293208
"19";"SAR8_0";15;0;-0.0479656331321;174;0.773333333333;30;0.0279825220027802
"20";"SAR9_0";15;0;-0.0325900589028;185;0.822222222222;30;0.0195055774477118
"21";"SAR0_0";15;0;-0.0314387420768;182;0.808888888889;30;0.0215007069888594
"22";"SAR1_0";15;0;-0.00237870761425;152;0.675555555556;30;0.055386576424085
"23";"SAR2_0";15;0;-0.0366816567313;212;0.942222222222;30;0.00802814659505267
"24";"SAR3_0";15;0;0.0335372228241;218;0.968888888889;30;0.00658483175505661
"25";"SAR4_0";15;0;0.0194579111995;158;0.702222222222;30;0.0455754535295278
"26";"SAR5_0";15;0;-0.0295716338271;182;0.808888888889;30;0.021491319148238
