"";"Var";"N";"RhoReference";"RhoEstimated";"k";"Theta";"r";"SMAUP"
"1";"SAR0_0.5";25;0.5;0.524169013381;572;0.9152;30;0.009360019419729
"2";"SAR1_0.5";25;0.5;0.481516546804;434;0.6944;30;0.0387131499255495
"3";"SAR0_0.5";25;0.5;0.542983380062;413;0.6608;30;0.0457456271290023
"4";"SAR1_0.5";25;0.5;0.518535030795;451;0.7216;30;0.0319927391558341
"5";"SAR0_0.5";25;0.5;0.523626886649;314;0.5024;30;0.1161620581357
"6";"SAR1_0.5";25;0.5;0.491884906015;374;0.5984;30;0.0692310129086197
"7";"SAR0_0.5";25;0.5;0.506678916669;462;0.7392;30;0.0288313708945282
"8";"SAR1_0.5";25;0.5;0.454940474233;336;0.5376;30;0.102345223135968
"9";"SAR0_0.5";25;0.5;0.529968529727;420;0.672;30;0.0431299487126056
"10";"SAR1_0.5";25;0.5;0.501468105177;472;0.7552;30;0.0261288617485568
"11";"SAR0_0.5";25;0.5;0.475453485633;492;0.7872;30;0.0215331631933331
"12";"SAR1_0.5";25;0.5;0.527274535322;378;0.6048;30;0.0646876279132392
"13";"SAR0_0.5";25;0.5;0.472146304732;425;0.68;30;0.0426061054020634
"14";"SAR1_0.5";25;0.5;0.50424229447;369;0.5904;30;0.0718383969539202
"15";"SAR0_0.5";25;0.5;0.523036846754;447;0.7152;30;0.0332092194375455
"16";"SAR1_0.5";25;0.5;0.477454190496;590;0.944;30;0.00779013217505549
"17";"SAR0_0.5";25;0.5;0.526900901997;589;0.9424;30;0.00785773920746727
"18";"SAR1_0.5";25;0.5;0.518244085512;399;0.6384;30;0.0533201892210791
"19";"SAR0_0.5";25;0.5;0.523318079748;569;0.9104;30;0.00965367018747366
"20";"SAR1_0.5";25;0.5;0.520469464689;445;0.712;30;0.0339233686627849
"21";"SAR0_0.5";25;0.5;0.494898688754;481;0.7696;30;0.0239163968068679
"22";"SAR1_0.5";25;0.5;0.529519579652;468;0.7488;30;0.0268543814176566
"23";"SAR0_0.5";25;0.5;0.486075208504;570;0.912;30;0.0095890401280938
"24";"SAR1_0.5";25;0.5;0.515815962455;478;0.7648;30;0.0244400906828096
"25";"SAR0_0.5";25;0.5;0.506381398142;386;0.6176;30;0.0609881458788642
"26";"SAR1_0.5";25;0.5;0.489610987446;544;0.8704;30;0.0125486759794729
"27";"SAR0_0.5";25;0.5;0.514767758801;480;0.768;30;0.0239627029585276
"28";"SAR1_0.5";25;0.5;0.539504514892;517;0.8272;30;0.0163500986751901
"29";"SAR0_0.5";25;0.5;0.518313177643;552;0.8832;30;0.0115009973662463
"30";"SAR1_0.5";25;0.5;0.481902756365;487;0.7792;30;0.0226118823503802
"31";"SAR0_0.5";25;0.5;0.523475296359;529;0.8464;30;0.0145353778908251
"32";"SAR1_0.5";25;0.5;0.47849977903;436;0.6976;30;0.0380102590264743
"33";"SAR0_0.5";25;0.5;0.545272870827;359;0.5744;30;0.0759496982788829
"34";"SAR1_0.5";25;0.5;0.53784620065;578;0.9248;30;0.00879185774556418
"35";"SAR0_0.5";25;0.5;0.482861823427;393;0.6288;30;0.0580417982325479
