VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;-0.3;-0.210169673;21;10;0.21;0.654019113;1
SAR1;-0.3;-0.326784572;43;10;0.43;0.28541349;1
SAR1;-0.3;0.022419691;27;10;0.27;0.52295771;1
SAR1;-0.3;-0.490856563;48;10;0.48;0.222928411;1
SAR1;-0.3;-0.326139797;16;10;0.16;0.735942679;1
SAR1;-0.3;-0.32491697;23;10;0.23;0.627439755;1
SAR1;-0.3;-0.328460808;21;10;0.21;0.660510014;1
SAR1;-0.3;-0.292224115;19;10;0.19;0.690437109;1
SAR1;-0.3;-0.055945336;33;10;0.33;0.427792368;1
SAR1;-0.3;-0.063218959;14;10;0.14;0.74878317;1
SAR1;-0.3;-0.432197906;12;10;0.12;0.790216406;1
SAR1;-0.3;-0.130694899;11;10;0.11;0.793206849;1
SAR1;-0.3;-0.302748726;10;10;0.1;0.810963272;1
SAR1;-0.3;-0.383443133;16;10;0.16;0.73762218;1
SAR1;-0.3;-0.472818082;5;10;0.05;0.861895634;1
SAR1;-0.3;-0.423669308;40;10;0.4;0.336010416;1
SAR1;-0.3;-0.236824787;23;10;0.23;0.622519917;1
SAR1;-0.3;-0.594079034;45;10;0.45;0.265557181;1
SAR1;-0.3;-0.277778464;4;10;0.04;0.869268854;1
SAR1;-0.3;-0.11995526;11;10;0.11;0.792619434;1
SAR1;-0.3;-0.205407318;15;10;0.15;0.744804984;1
SAR1;-0.3;-0.111579024;10;10;0.1;0.804318448;1
SAR1;-0.3;-0.490848459;11;10;0.11;0.802540494;1
SAR1;-0.3;-0.348809716;34;10;0.34;0.434529476;1
SAR1;-0.3;-0.367523101;14;10;0.14;0.764117313;1
SAR1;-0.3;-0.437135132;12;10;0.12;0.790287794;1
SAR1;-0.3;-0.309381889;26;10;0.26;0.575083663;1
SAR1;-0.3;-0.386993171;25;10;0.25;0.596065303;1
SAR1;-0.3;-0.357399346;13;10;0.13;0.776633372;1
SAR1;-0.3;-0.469255125;19;10;0.19;0.696125903;1
