VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;0;-0.098639393;17;10;0.17;0.708148833;1
SAR1;0;0.125891279;6;10;0.06;0.835044119;1
SAR1;0;0.136426561;10;10;0.1;0.780030364;1
SAR1;0;0.09564917;10;10;0.1;0.786088098;1
SAR1;0;0.120096716;9;10;0.09;0.796449687;1
SAR1;0;0.046145651;32;10;0.32;0.430176613;1
SAR1;0;-0.076917746;20;10;0.2;0.658516372;1
SAR1;0;0.301210126;19;10;0.19;0.585174213;1
SAR1;0;-0.048038031;37;10;0.37;0.358445872;1
SAR1;0;0.008547499;31;10;0.31;0.453957454;1
SAR1;0;-0.134378473;6;10;0.06;0.848845957;1
SAR1;0;0.063324506;26;10;0.26;0.533213428;1
SAR1;0;-0.132199414;13;10;0.13;0.767719246;1
SAR1;0;0.197562295;8;10;0.08;0.798542362;1
SAR1;0;-0.119100822;17;10;0.17;0.709962218;1
SAR1;0;0.032344762;19;10;0.19;0.659847265;1
SAR1;0;-0.051800418;11;10;0.11;0.788136498;1
SAR1;0;0.12851645;11;10;0.11;0.766937825;1
SAR1;0;0.053903947;12;10;0.12;0.76388925;1
SAR1;0;-0.097912019;41;10;0.41;0.30007293;1
SAR1;0;-0.048859344;10;10;0.1;0.800487071;1
SAR1;0;0.205646934;26;10;0.26;0.498167968;1
SAR1;0;0.076610411;36;10;0.36;0.35735813;1
SAR1;0;0.126238395;11;10;0.11;0.767323349;1
SAR1;0;-0.047984252;4;10;0.04;0.865921322;1
SAR1;0;-0.039642211;27;10;0.27;0.532654855;1
SAR1;0;-0.016120592;8;10;0.08;0.82226646;1
SAR1;0;-0.273167041;28;10;0.28;0.537522718;1
SAR1;0;0.021071449;15;10;0.15;0.724679635;1
SAR1;0;0.076257137;21;10;0.21;0.618110806;1
SAR1;0;-0.047109785;5;10;0.05;0.85619123;1
SAR1;0;0.067312613;7;10;0.07;0.827960536;1
SAR1;0;-0.024858506;8;10;0.08;0.822820505;1
SAR1;0;-0.14969835;24;10;0.24;0.598488816;1
SAR1;0;0.204389829;23;10;0.23;0.550782519;1
SAR1;0;-0.056085344;28;10;0.28;0.516998644;1
SAR1;0;0.181819821;34;10;0.34;0.369295869;1
SAR1;0;-0.163865175;25;10;0.25;0.582355036;1
SAR1;0;-0.213023405;28;10;0.28;0.533272755;1
SAR1;0;-0.02639984;27;10;0.27;0.53074682;1
SAR1;0;-0.114352738;31;10;0.31;0.470183961;1
SAR1;0;-0.144627868;4;10;0.04;0.867807639;1
SAR1;0;-0.329630188;23;10;0.23;0.627658438;1
SAR1;0;-0.158649226;38;10;0.38;0.353030339;1
SAR1;0;-0.02361375;35;10;0.35;0.388973937;1
SAR1;0;-0.103503779;38;10;0.38;0.347974922;1
SAR1;0;-0.076976632;19;10;0.19;0.674730563;1
SAR1;0;-0.011376131;18;10;0.18;0.682681403;1
SAR1;0;-0.04998025;4;10;0.04;0.865970365;1
SAR1;0;-0.163857558;8;10;0.08;0.829128495;1
SAR1;0;-0.117445366;22;10;0.22;0.629582222;1
SAR1;0;0.089311306;26;10;0.26;0.527872079;1
SAR1;0;-0.014938868;16;10;0.16;0.714302119;1
