VarName;RhoReference;RhoEstimated;k;N;k_N;Smaup;reject
SAR1;0.9;0.932156726;80;20;0.2;0.171545485;0
SAR1;0.9;0.898147622;11;20;0.0275;0.6003519;1
SAR1;0.9;0.858593156;5;20;0.0125;0.77749347;1
SAR1;0.9;0.88567223;18;20;0.045;0.492037196;1
SAR1;0.9;0.937176534;107;20;0.2675;0.139238853;0
SAR1;0.9;0.860297793;36;20;0.09;0.354477756;1
SAR1;0.9;0.892008287;77;20;0.1925;0.199216813;0
SAR1;0.9;0.870629544;48;20;0.12;0.287777112;0
SAR1;0.9;0.917306647;186;20;0.465;0.080091909;0
SAR1;0.9;0.874643417;8;20;0.02;0.690554158;1
SAR1;0.9;0.892919449;11;20;0.0275;0.605511723;1
SAR1;0.9;0.879350638;15;20;0.0375;0.544331367;1
SAR1;0.9;0.915809436;9;20;0.0225;0.629744582;1
SAR1;0.9;0.871246325;36;20;0.09;0.343790641;1
SAR1;0.9;0.846665622;31;20;0.0775;0.401605558;1
SAR1;0.9;0.90994178;13;20;0.0325;0.547532129;1
SAR1;0.9;0.886931521;7;20;0.0175;0.706370254;1
SAR1;0.9;0.873769434;25;20;0.0625;0.42392025;1
SAR1;0.9;0.867136152;53;20;0.1325;0.273116556;0
SAR1;0.9;0.882502411;15;20;0.0375;0.5410075;1
SAR1;0.9;0.874116738;28;20;0.07;0.396763283;1
SAR1;0.9;0.929565731;69;20;0.1725;0.189904867;0
SAR1;0.9;0.906119621;6;20;0.015;0.720078544;1
SAR1;0.9;0.868379532;4;20;0.01;0.799673638;1
SAR1;0.9;0.895084531;19;20;0.0475;0.468259236;1
SAR1;0.9;0.892122354;24;20;0.06;0.414127506;1
SAR1;0.9;0.786398553;27;20;0.0675;0.496874887;1
SAR1;0.9;0.810865364;48;20;0.12;0.34070846;1
SAR1;0.9;0.882548329;9;20;0.0225;0.660015294;1
SAR1;0.9;0.915300234;124;20;0.31;0.131769006;0
SAR1;0.9;0.923560272;213;20;0.5325;0.061144774;0
SAR1;0.9;0.92647125;101;20;0.2525;0.149685923;0
SAR1;0.9;0.870982513;28;20;0.07;0.400034503;1
SAR1;0.9;0.840519465;36;20;0.09;0.37397807;1
SAR1;0.9;0.882889896;18;20;0.045;0.495050638;1
SAR1;0.9;0.862675759;45;20;0.1125;0.306803164;0
SAR1;0.9;0.894136164;34;20;0.085;0.333537206;1
SAR1;0.9;0.866906203;10;20;0.025;0.651317682;1
SAR1;0.9;0.896646747;24;20;0.06;0.409291578;1
SAR1;0.9;0.864281559;43;20;0.1075;0.314170488;1
SAR1;0.9;0.866335527;30;20;0.075;0.388910394;1
SAR1;0.9;0.876898997;25;20;0.0625;0.4205891;1
SAR1;0.9;0.903158076;12;20;0.03;0.574380381;1
SAR1;0.9;0.885168937;11;20;0.0275;0.613064232;1
SAR1;0.9;0.892068894;160;20;0.4;0.105828693;0
SAR1;0.9;0.88691991;46;20;0.115;0.281485277;0
SAR1;0.9;0.898542561;74;20;0.185;0.20035874;0
SAR1;0.9;0.893257872;13;20;0.0325;0.565049927;1
SAR1;0.9;0.902790749;106;20;0.265;0.154779155;0
SAR1;0.9;0.931201612;57;20;0.1425;0.213188241;0
SAR1;0.9;0.859710257;31;20;0.0775;0.388220369;1
SAR1;0.9;0.837898213;24;20;0.06;0.471989908;1
SAR1;0.9;0.875495343;16;20;0.04;0.532398959;1
SAR1;0.9;0.910820601;20;20;0.05;0.438303604;1
SAR1;0.9;0.863745172;75;20;0.1875;0.22063574;0
SAR1;0.9;0.885097989;28;20;0.07;0.385329075;1
SAR1;0.9;0.874210623;17;20;0.0425;0.51867448;1
SAR1;0.9;0.873988185;22;20;0.055;0.454784241;1
SAR1;0.9;0.854758697;29;20;0.0725;0.408748647;1
SAR1;0.9;0.908180116;190;20;0.475;0.07848841;0
SAR1;0.9;0.880443635;9;20;0.0225;0.661848524;1
SAR1;0.9;0.902172398;4;20;0.01;0.783678037;1
SAR1;0.9;0.910571655;6;20;0.015;0.716843667;1
SAR1;0.9;0.896355367;99;20;0.2475;0.16578557;0
SAR1;0.9;0.848533718;39;20;0.0975;0.348827176;1
SAR1;0.9;0.866866207;21;20;0.0525;0.473945371;1
SAR1;0.9;0.891531111;171;20;0.4275;0.096362529;0
SAR1;0.9;0.889197757;140;20;0.35;0.125138444;0
SAR1;0.9;0.846566288;10;20;0.025;0.668914767;1
SAR1;0.9;0.926509097;127;20;0.3175;0.125246718;0
SAR1;0.9;0.913987586;10;20;0.025;0.607159172;1
SAR1;0.9;0.857603283;14;20;0.035;0.583476058;1
SAR1;0.9;0.897066979;27;20;0.0675;0.38123111;1
SAR1;0.9;0.831710753;37;20;0.0925;0.376625732;1
SAR1;0.9;0.843279602;15;20;0.0375;0.581342047;1
SAR1;0.9;0.889617042;18;20;0.045;0.487754864;1
SAR1;0.9;0.920217349;6;20;0.015;0.709674545;1
SAR1;0.9;0.862874754;50;20;0.125;0.286983991;0
SAR1;0.9;0.859626388;68;20;0.17;0.238127668;0
SAR1;0.9;0.901528211;15;20;0.0375;0.52068136;1
SAR1;0.9;0.889368541;15;20;0.0375;0.533722177;1
SAR1;0.9;0.881606176;30;20;0.075;0.373237269;1
SAR1;0.9;0.847771367;24;20;0.06;0.461515049;1
