VarName;N;RhoReference;RhoEstimated;k;Theta;counter;Smaup;reject
SAR0_0.7;10;0.7;0.729011042;2;0.02;30;0.776401269;1
SAR1_0.7;10;0.7;0.717360273;45;0.45;30;0.115418439;0
SAR2_0.7;10;0.7;0.67775503;85;0.85;30;0.013702611;0
SAR3_0.7;10;0.7;0.7401786;80;0.8;30;0.018038486;0
SAR4_0.7;10;0.7;0.72511713;50;0.5;30;0.090598851;0
SAR5_0.7;10;0.7;0.661852735;54;0.54;30;0.080812939;0
SAR6_0.7;10;0.7;0.706152721;58;0.58;30;0.062306135;0
SAR7_0.7;10;0.7;0.655057225;46;0.46;30;0.121531638;0
SAR8_0.7;10;0.7;0.679067542;42;0.42;30;0.140539528;0
SAR9_0.7;10;0.7;0.735186909;52;0.52;30;0.081176139;0
SAR0_0.7;10;0.7;0.689878033;79;0.79;30;0.019499985;0
SAR1_0.7;10;0.7;0.69859471;92;0.92;30;0.008948816;0
SAR2_0.7;10;0.7;0.682201422;47;0.47;30;0.111286195;0
SAR3_0.7;10;0.7;0.657194048;63;0.63;30;0.04994726;0
SAR4_0.7;10;0.7;0.713457153;46;0.46;30;0.111040965;0
SAR5_0.7;10;0.7;0.688407777;91;0.91;30;0.009517999;0
SAR6_0.7;10;0.7;0.703348655;12;0.12;30;0.425979945;1
SAR7_0.7;10;0.7;0.704911267;47;0.47;30;0.10749698;0
SAR8_0.7;10;0.7;0.719919895;9;0.09;30;0.479424605;1
SAR9_0.7;10;0.7;0.715689766;35;0.35;30;0.175119104;0
SAR0_0.7;10;0.7;0.730938079;83;0.83;30;0.01520766;0
SAR1_0.7;10;0.7;0.667031209;21;0.21;30;0.32268791;0
SAR2_0.7;10;0.7;0.738606217;60;0.6;30;0.054189349;0
SAR3_0.7;10;0.7;0.670475053;88;0.88;30;0.011448079;0
SAR4_0.7;10;0.7;0.729061525;43;0.43;30;0.123486846;0
SAR5_0.7;10;0.7;0.672755482;27;0.27;30;0.257291069;0
SAR6_0.7;10;0.7;0.74698958;73;0.73;30;0.0267206;0
SAR7_0.7;10;0.7;0.665837891;8;0.08;30;0.55895844;1
SAR8_0.7;10;0.7;0.654671042;60;0.6;30;0.059109449;0
SAR9_0.7;10;0.7;0.680490115;53;0.53;30;0.083118008;0
SAR0_0.7;10;0.7;0.676139238;71;0.71;30;0.031272482;0
SAR1_0.7;10;0.7;0.732252546;85;0.85;30;0.013522177;0
SAR2_0.7;10;0.7;0.705537292;59;0.59;30;0.059167059;0
SAR3_0.7;10;0.7;0.717883893;96;0.96;30;0.007011176;0
SAR4_0.7;10;0.7;0.745789385;88;0.88;30;0.011301986;0
SAR5_0.7;10;0.7;0.735390358;33;0.33;30;0.181104503;0
SAR6_0.7;10;0.7;0.656385544;73;0.73;30;0.028180135;0
SAR7_0.7;10;0.7;0.696589187;52;0.52;30;0.085574053;0
SAR8_0.7;10;0.7;0.653753811;65;0.65;30;0.044767553;0
SAR9_0.7;10;0.7;0.724143221;64;0.64;30;0.044510105;0
SAR0_0.7;10;0.7;0.721582937;97;0.97;30;0.006596613;0
SAR1_0.7;10;0.7;0.732383642;86;0.86;30;0.012749335;0
SAR2_0.7;10;0.7;0.724420984;47;0.47;30;0.104266866;0
SAR3_0.7;10;0.7;0.696757985;40;0.4;30;0.148550007;0
SAR4_0.7;10;0.7;0.726133563;49;0.49;30;0.094820036;0
SAR5_0.7;10;0.7;0.698394281;28;0.28;30;0.23493897;0
SAR6_0.7;10;0.7;0.732081472;78;0.78;30;0.020301109;0
SAR7_0.7;10;0.7;0.677790299;2;0.02;30;0.799735212;1
SAR8_0.7;10;0.7;0.71703176;53;0.53;30;0.079252906;0
SAR9_0.7;10;0.7;0.747685211;43;0.43;30;0.119480714;0
SAR0_0.7;10;0.7;0.690258569;64;0.64;30;0.045885527;0
SAR1_0.7;10;0.7;0.657708589;81;0.81;30;0.017524232;0
SAR2_0.7;10;0.7;0.690221534;80;0.8;30;0.018383165;0
SAR3_0.7;10;0.7;0.70081051;46;0.46;30;0.113295295;0
SAR4_0.7;10;0.7;0.675178437;26;0.26;30;0.265295593;0
SAR5_0.7;10;0.7;0.693093223;83;0.83;30;0.015378846;0
SAR6_0.7;10;0.7;0.7356119;48;0.48;30;0.097876105;0
SAR7_0.7;10;0.7;0.740721893;21;0.21;30;0.271904551;0
SAR8_0.7;10;0.7;0.67736042;70;0.7;30;0.033091485;0
SAR9_0.7;10;0.7;0.67129974;69;0.69;30;0.035184515;0
SAR0_0.7;10;0.7;0.680268655;35;0.35;30;0.187799284;0
SAR1_0.7;10;0.7;0.652060818;51;0.51;30;0.095438785;0
SAR2_0.7;10;0.7;0.741635091;64;0.64;30;0.043800701;0
SAR3_0.7;10;0.7;0.705349937;80;0.8;30;0.01827904;0
SAR4_0.7;10;0.7;0.653082429;42;0.42;30;0.146708471;0
SAR5_0.7;10;0.7;0.736049664;68;0.68;30;0.035473147;0
SAR6_0.7;10;0.7;0.701090468;15;0.15;30;0.375514514;1
SAR7_0.7;10;0.7;0.733811926;84;0.84;30;0.014332667;0
SAR8_0.7;10;0.7;0.744814154;49;0.49;30;0.092167306;0
SAR9_0.7;10;0.7;0.661459905;98;0.98;30;0.006193843;0
SAR0_0.7;10;0.7;0.707446799;73;0.73;30;0.027359342;0
SAR1_0.7;10;0.7;0.670763684;64;0.64;30;0.04667677;0
SAR2_0.7;10;0.7;0.675862377;45;0.45;30;0.123380228;0
SAR3_0.7;10;0.7;0.700987374;19;0.19;30;0.321604885;0
SAR4_0.7;10;0.7;0.66983333;39;0.39;30;0.162569273;0
SAR5_0.7;10;0.7;0.652880275;90;0.9;30;0.010158123;0
SAR6_0.7;10;0.7;0.704557284;46;0.46;30;0.112626227;0
SAR7_0.7;10;0.7;0.689418458;78;0.78;30;0.020682199;0
SAR8_0.7;10;0.7;0.714789749;73;0.73;30;0.027240905;0
SAR9_0.7;10;0.7;0.677054532;48;0.48;30;0.106921409;0
SAR0_0.7;10;0.7;0.717771757;77;0.77;30;0.021641342;0
SAR1_0.7;10;0.7;0.679932283;89;0.89;30;0.010757959;0
SAR2_0.7;10;0.7;0.680507569;67;0.67;30;0.039143912;0
SAR3_0.7;10;0.7;0.716054355;93;0.93;30;0.008412194;0
SAR4_0.7;10;0.7;0.678298104;95;0.95;30;0.007457614;0
SAR5_0.7;10;0.7;0.720639453;50;0.5;30;0.091192147;0
SAR6_0.7;10;0.7;0.657186924;90;0.9;30;0.010152718;0
SAR7_0.7;10;0.7;0.656373407;28;0.28;30;0.256712304;0
SAR8_0.7;10;0.7;0.710967406;77;0.77;30;0.021710184;0
SAR9_0.7;10;0.7;0.737111115;6;0.06;30;0.56058422;1
SAR0_0.7;10;0.7;0.723836947;62;0.62;30;0.049545312;0
SAR1_0.7;10;0.7;0.70369185;59;0.59;30;0.059285211;0
SAR2_0.7;10;0.7;0.696008094;78;0.78;30;0.020623482;0
SAR3_0.7;10;0.7;0.688641314;79;0.79;30;0.01950968;0
SAR4_0.7;10;0.7;0.668343833;50;0.5;30;0.098181097;0
SAR5_0.7;10;0.7;0.70999726;98;0.98;30;0.006203396;0
SAR6_0.7;10;0.7;0.666893224;57;0.57;30;0.068619666;0
SAR7_0.7;10;0.7;0.747695057;84;0.84;30;0.014278516;0
SAR8_0.7;10;0.7;0.712950524;49;0.49;30;0.096704135;0
SAR9_0.7;10;0.7;0.705287075;86;0.86;30;0.012825345;0
SAR0_0.7;10;0.7;0.657542264;88;0.88;30;0.01147304;0
SAR1_0.7;10;0.7;0.710755647;33;0.33;30;0.190779587;0
