VarName;N;RhoReference;RhoEstimated;k;Theta;counter;Smaup;reject
SAR;30;-0.9;-0.888133858;776;0.862222222;30;0.016344776;0
SAR;30;-0.9;-0.900622203;865;0.961111111;30;0.006982627;0
SAR;30;-0.9;-0.894586256;855;0.95;30;0.007714668;0
SAR;30;-0.9;-0.87376325;779;0.865555556;30;0.015877073;0
SAR;30;-0.9;-0.871862678;686;0.762222222;30;0.03580741;1
SAR;30;-0.9;-0.910689006;778;0.864444444;30;0.016089603;0
SAR;30;-0.9;-0.88416177;758;0.842222222;30;0.019224815;0
SAR;30;-0.9;-0.901232594;764;0.848888889;30;0.018253008;0
SAR;30;-0.9;-0.913920783;805;0.894444444;30;0.012524712;0
SAR;30;-0.9;-0.894203913;817;0.907777778;30;0.011160386;0
SAR;30;-0.9;-0.90302831;771;0.856666667;30;0.017135563;0
SAR;30;-0.9;-0.898274292;777;0.863333333;30;0.016214845;0
SAR;30;-0.9;-0.908672992;759;0.843333333;30;0.019110525;0
SAR;30;-0.9;-0.902110387;831;0.923333333;30;0.009762371;0
SAR;30;-0.9;-0.89753766;820;0.911111111;30;0.010848254;0
SAR;30;-0.9;-0.905348944;767;0.852222222;30;0.017773486;0
SAR;30;-0.9;-0.899951278;872;0.968888889;30;0.006507175;0
SAR;30;-0.9;-0.900224835;751;0.834444444;30;0.020506545;0
SAR;30;-0.9;-0.914285077;766;0.851111111;30;0.017954024;0
SAR;30;-0.9;-0.923557248;745;0.827777778;30;0.021692662;0
SAR;30;-0.9;-0.896282782;854;0.948888889;30;0.007791812;0
SAR;30;-0.9;-0.906699376;755;0.838888889;30;0.019803286;0
SAR;30;-0.9;-0.913379422;789;0.876666667;30;0.014543525;0
SAR;30;-0.9;-0.882737668;843;0.936666667;30;0.008678703;0
SAR;30;-0.9;-0.91957095;819;0.91;30;0.010970436;0
SAR;30;-0.9;-0.88873754;847;0.941111111;30;0.00834711;0
SAR;30;-0.9;-0.897515387;667;0.741111111;30;0.042064695;1
SAR;30;-0.9;-0.919310171;880;0.977777778;30;0.005995782;0
SAR;30;-0.9;-0.889319386;863;0.958888889;30;0.007123602;0
SAR;30;-0.9;-0.895478765;733;0.814444444;30;0.024023704;0
SAR;30;-0.9;-0.891803884;795;0.883333333;30;0.013725232;0
SAR;30;-0.9;-0.908790815;771;0.856666667;30;0.017147032;0
SAR;30;-0.9;-0.901489418;791;0.878888889;30;0.014258838;0
SAR;30;-0.9;-0.903869925;885;0.983333333;30;0.005699257;0
SAR;30;-0.9;-0.913739443;796;0.884444444;30;0.013627504;0
SAR;30;-0.9;-0.89905926;887;0.985555556;30;0.005584564;0
SAR;30;-0.9;-0.888205742;811;0.901111111;30;0.011808505;0
SAR;30;-0.9;-0.912584276;788;0.875555556;30;0.014677597;0
SAR;30;-0.9;-0.891762982;801;0.89;30;0.012977675;0
SAR;30;-0.9;-0.919744164;810;0.9;30;0.011952674;0
SAR;30;-0.9;-0.911572749;789;0.876666667;30;0.014540793;0
SAR;30;-0.9;-0.892599752;789;0.876666667;30;0.014512016;0
SAR;30;-0.9;-0.896906605;773;0.858888889;30;0.016814749;0
SAR;30;-0.9;-0.879129688;888;0.986666667;30;0.005532897;0
SAR;30;-0.9;-0.879422226;837;0.93;30;0.00919945;0
SAR;30;-0.9;-0.924562322;880;0.977777778;30;0.005994816;0
SAR;30;-0.9;-0.908118774;700;0.777777778;30;0.031976128;1
SAR;30;-0.9;-0.925838897;794;0.882222222;30;0.013900771;0
SAR;30;-0.9;-0.895677816;866;0.962222222;30;0.006912867;0
SAR;30;-0.9;-0.907637688;870;0.966666667;30;0.006639539;0
SAR;30;-0.9;-0.910762578;706;0.784444444;30;0.030395909;1
SAR;30;-0.9;-0.895059725;775;0.861111111;30;0.016507615;0
SAR;30;-0.9;-0.899132548;753;0.836666667;30;0.020141393;0
SAR;30;-0.9;-0.918347033;752;0.835555556;30;0.020370477;0
SAR;30;-0.9;-0.914683204;755;0.838888889;30;0.019822771;0
SAR;30;-0.9;-0.895214519;869;0.965555556;30;0.006707489;0
SAR;30;-0.9;-0.899195025;864;0.96;30;0.007052988;0
SAR;30;-0.9;-0.91024086;862;0.957777778;30;0.007196248;0
SAR;30;-0.9;-0.916447046;721;0.801111111;30;0.02674094;1
SAR;30;-0.9;-0.883253622;873;0.97;30;0.006443281;0
SAR;30;-0.9;-0.882012504;885;0.983333333;30;0.005704533;0
SAR;30;-0.9;-0.881641988;875;0.972222222;30;0.006314649;0
SAR;30;-0.9;-0.873690378;843;0.936666667;30;0.008675453;0
SAR;30;-0.9;-0.900372175;805;0.894444444;30;0.012509422;0
SAR;30;-0.9;-0.896857211;689;0.765555556;30;0.035034109;1
SAR;30;-0.9;-0.89637999;838;0.931111111;30;0.009118164;0
SAR;30;-0.9;-0.898414747;706;0.784444444;30;0.030346547;1
SAR;30;-0.9;-0.920385495;867;0.963333333;30;0.006843381;0
SAR;30;-0.9;-0.917338311;889;0.987777778;30;0.005465606;0
SAR;30;-0.9;-0.917036147;847;0.941111111;30;0.008355322;0
SAR;30;-0.9;-0.911857151;709;0.787777778;30;0.029631213;1
SAR;30;-0.9;-0.905524551;807;0.896666667;30;0.012281541;0
SAR;30;-0.9;-0.891098823;756;0.84;30;0.019589051;0
SAR;30;-0.9;-0.9057236;863;0.958888889;30;0.00712426;0
SAR;30;-0.9;-0.895407346;830;0.922222222;30;0.009853224;0
SAR;30;-0.9;-0.889986485;773;0.858888889;30;0.016801298;0
SAR;30;-0.9;-0.892601015;871;0.967777778;30;0.006573796;0
SAR;30;-0.9;-0.89538198;818;0.908888889;30;0.011055554;0
SAR;30;-0.9;-0.910585234;860;0.955555556;30;0.007341824;0
SAR;30;-0.9;-0.883623523;844;0.937777778;30;0.008594577;0
SAR;30;-0.9;-0.893166936;763;0.847777778;30;0.018400444;0
SAR;30;-0.9;-0.902824379;812;0.902222222;30;0.01171153;0
SAR;30;-0.9;-0.896530753;840;0.933333333;30;0.008942132;0
SAR;30;-0.9;-0.896916026;817;0.907777778;30;0.011162729;0
SAR;30;-0.9;-0.904117265;700;0.777777778;30;0.031959342;1
SAR;30;-0.9;-0.907159742;763;0.847777778;30;0.018431498;0
SAR;30;-0.9;-0.896542319;807;0.896666667;30;0.012271804;0
SAR;30;-0.9;-0.899239918;760;0.844444444;30;0.01891786;0
SAR;30;-0.9;-0.874202142;781;0.867777778;30;0.015589878;0
SAR;30;-0.9;-0.874167482;876;0.973333333;30;0.006252131;0
SAR;30;-0.9;-0.902235159;875;0.972222222;30;0.006312131;0
