"","Var","N","RhoRef","RhoEst","k","Theta","Contador","SMAUP","Smaup_New","Rechazos"
"1","SAR0_0.9",30,0.9,0.886283494616,794,0.882222222222,30,0.137458105335,0.010891082271657,0
"2","SAR1_0.9",30,0.9,0.91525840658,800,0.888888888889,30,0.138625744244,0.010446608473326,0
"3","SAR0_0.9",30,0.9,0.880653004179,520,0.577777777778,30,0.0729722358055,0.0508929884242606,0
"4","SAR1_0.9",30,0.9,0.897771681677,468,0.52,30,0.0626800026419,0.0634907946545092,0
"5","SAR0_0.9",30,0.9,0.891774020462,196,0.217777777778,30,0.0407307285633,0.174371042957501,0
"6","SAR1_0.9",30,0.9,0.892976349638,688,0.764444444444,30,0.108649632499,0.0204314658230222,0
"7","SAR0_0.9",30,0.9,0.881418690766,550,0.611111111111,30,0.0784652372754,0.0437124703161237,0
"8","SAR1_0.9",30,0.9,0.894328770681,750,0.833333333333,30,0.125006548744,0.0142025822409087,0
"9","SAR0_0.9",30,0.9,0.868030114778,838,0.931111111111,30,0.150101221506,0.00828020747427731,0
"10","SAR1_0.9",30,0.9,0.883309211979,584,0.648888888889,30,0.0851324802875,0.0365414919328184,0
"11","SAR0_0.9",30,0.9,0.88925292236,864,0.96,30,0.157508726345,0.00700672986122449,0
"12","SAR1_0.9",30,0.9,0.922806711532,30,0.0333333333333,30,0.078405078798,0.513299182250899,1
"13","SAR0_0.9",30,0.9,0.904553428638,676,0.751111111111,30,0.104965306086,0.0217309142633052,0
"14","SAR1_0.9",30,0.9,0.894878113726,346,0.384444444444,30,0.0478484459241,0.104835521346174,0
"15","SAR0_0.9",30,0.9,0.886568197681,824,0.915555555556,30,0.145970735368,0.00903459678874319,0
"16","SAR1_0.9",30,0.9,0.909446082274,626,0.695555555556,30,0.0924616701713,0.0285214111828233,0
"17","SAR0_0.9",30,0.9,0.896298324504,86,0.0955555555556,30,0.0508193842704,0.294872930744303,0
"18","SAR1_0.9",30,0.9,0.893725541739,750,0.833333333333,30,0.125027152902,0.01420523311203,0
"19","SAR0_0.9",30,0.9,0.902972762314,762,0.846666666667,30,0.128052556931,0.0131845821778111,0
"20","SAR1_0.9",30,0.9,0.908620663502,888,0.986666666667,30,0.164671601475,0.00600506914877284,0
"21","SAR0_0.9",30,0.9,0.876361523081,192,0.213333333333,30,0.0426599000328,0.185263759855049,0
"22","SAR1_0.9",30,0.9,0.895771343589,810,0.9,30,0.141841195695,0.0098499411263173,0
"23","SAR0_0.9",30,0.9,0.899805454544,700,0.777777777778,30,0.111388148631,0.0190041576804037,0
"24","SAR1_0.9",30,0.9,0.908098857861,718,0.797777777778,30,0.115767105476,0.0170624695437638,0
"25","SAR0_0.9",30,0.9,0.873398567241,672,0.746666666667,30,0.105759571989,0.0226449351814446,0
"26","SAR1_0.9",30,0.9,0.883801997485,576,0.64,30,0.083436530971,0.0380968634646097,0
"27","SAR0_0.9",30,0.9,0.888931438221,500,0.555555555556,30,0.0687222404534,0.0554589974741518,0
